Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.13679085523311116,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.13101626202712935,
Cyclohexane-IPA [Propan-2-ol],0.12159184405067058,
Water.Acetonitrile-Acetonitrile,0.1652076106924504,
Acetonitrile-Acetonitrile.Acetic Acid,0.13302327907110828,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.2554542661997032,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.08703990673291671,
"DMA [N,N-Dimethylacetamide]-Decanol",0.11556789294215418,
Ethanol-THF [Tetrahydrofuran],0.13589323842840445,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.12006246482558253,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.16865896956102577,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.26583489351965256,
Methyl Propionate-Ethyl Lactate,0.1434182031879595,
