Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.16981766929603845,
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.27305597291631795,
Cyclohexane-IPA [Propan-2-ol],0.19561511795547035,
Water.Acetonitrile-Acetonitrile,0.2534611325694412,
Acetonitrile-Acetonitrile.Acetic Acid,0.023788592682934814,
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.07545493355020384,
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.0792305399255111,
"DMA [N,N-Dimethylacetamide]-Decanol",0.10486017236254361,
Ethanol-THF [Tetrahydrofuran],0.1254574455978883,
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.02483189778001227,
MTBE [tert-Butylmethylether]-Butanone [MEK],0.03910339516761442,
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.018337346983465386,
Methyl Propionate-Ethyl Lactate,0.028604961680963426,
